Semester,Code,Mata Kuliah,SKS,URL,Category
Semester 1,TIF3221104,Praktikum Algoritma dan Pemrograman,1,https://www.ums.ac.id/mata-kuliah/TIF3221104,tech
Semester 1,TIF3221303,Algoritma dan Pemrograman,3,https://www.ums.ac.id/mata-kuliah/TIF3221303,tech
Semester 1,TIF1221202,English for Academic Purpose,2,https://www.ums.ac.id/mata-kuliah/TIF1221202,other
Semester 1,TIF1221201,Agama,2,https://www.ums.ac.id/mata-kuliah/TIF1221201,theology
Semester 1,TIF3221308,Logika dan Himpunan,3,https://www.ums.ac.id/mata-kuliah/TIF3221308,math
Semester 1,TIF3221206,Kepemimpinan dan Komunikasi Interpersonal,2,https://www.ums.ac.id/mata-kuliah/TIF3221206,other
Semester 1,TIF3221305,Kalkulus,3,https://www.ums.ac.id/mata-kuliah/TIF3221305,math
Semester 1,TIF3221307,Pemrograman Visual,3,https://www.ums.ac.id/mata-kuliah/TIF3221307,tech
Semester 2,TIF3221311,Sistem dan Teknologi Informasi,3,https://www.ums.ac.id/mata-kuliah/TIF3221311,tech
Semester 2,TIF3221312,Sistem Digital,3,https://www.ums.ac.id/mata-kuliah/TIF3221312,tech
Semester 2,TIF3221113,Praktikum Sistem Digital,1,https://www.ums.ac.id/mata-kuliah/TIF3221113,tech
Semester 2,TIF3221315,Aljabar Linier dan Matriks,3,https://www.ums.ac.id/mata-kuliah/TIF3221315,math
Semester 2,TIF3221316,Sistem Basis Data,3,https://www.ums.ac.id/mata-kuliah/TIF3221316,tech
Semester 2,TIF3221117,Praktikum Sistem Basis Data,1,https://www.ums.ac.id/mata-kuliah/TIF3221117,tech
Semester 2,TIF1221209,Ibadah dan Muamalah,2,https://www.ums.ac.id/mata-kuliah/TIF1221209,theology
Semester 2,TIF1221210,Standardized Test Preparation,2,https://www.ums.ac.id/mata-kuliah/TIF1221210,other
Semester 2,TIF3221314,Matematika Diskret,3,https://www.ums.ac.id/mata-kuliah/TIF3221314,math
Semester 3,TIF3221324,Teori Bahasa dan Automata,3,https://www.ums.ac.id/mata-kuliah/TIF3221324,tech
